
graph resources/graph_datasets/queen9_9.col:
    base color: 15
    best solution:
        time    = 140.277008
        colors  = 11
    avg values:
        time    = 122.121048
        colors  = 11.400000


0 8
0 10
0 22
0 34
0 39
0 51
0 63
0 65
0 77
1 5
1 12
1 19
1 33
1 44
1 47
1 58
1 70
1 81
2 1
2 17
2 23
2 30
2 42
2 54
2 56
2 67
2 79
3 2
3 14
3 26
3 28
3 45
3 49
3 60
3 75
4 15
4 27
4 38
4 50
4 61
4 64
4 76
5 3
5 18
5 29
5 40
5 62
5 68
5 73
6 9
6 16
6 20
6 31
6 37
6 53
6 59
6 66
6 78
7 4
7 11
7 25
7 36
7 48
7 55
7 69
7 80
8 6
8 32
8 43
8 57
8 71
9 7
9 13
9 24
9 35
9 41
9 46
9 72
9 74
10 21
10 52
