
graph resources/graph_datasets/DSJC500.1.col:
    base color: 20
    best solution:
        time    = 827.279114
        colors  = 18
    avg values:
        time    = 3874.307129
        colors  = 18.000000


0 8
0 35
0 36
0 59
0 66
0 71
0 79
0 108
0 109
0 111
0 124
0 125
0 132
0 138
0 152
0 175
0 185
0 187
0 190
0 195
0 210
0 214
0 221
0 264
0 266
0 267
0 270
0 278
0 289
0 303
0 321
0 327
0 334
0 342
0 362
0 367
0 368
0 396
0 398
0 399
0 424
0 459
0 463
1 15
1 19
1 24
1 29
1 34
1 56
1 64
1 84
1 85
1 88
1 91
1 130
1 153
1 163
1 169
1 186
1 227
1 241
1 243
1 245
1 273
1 307
1 309
1 313
1 316
1 322
1 333
1 403
1 405
1 417
1 422
1 428
1 438
1 443
1 469
1 479
1 496
2 14
2 25
2 30
2 31
2 33
2 45
2 67
2 102
2 115
2 116
2 122
2 123
2 128
2 144
2 159
2 173
2 201
2 224
2 251
2 254
2 259
2 284
2 286
2 297
2 298
2 318
2 328
2 331
2 358
2 375
2 429
2 436
2 462
2 470
2 476
3 9
3 28
3 47
3 49
3 60
3 77
3 78
3 95
3 103
3 107
3 112
3 150
3 157
3 162
3 178
3 181
3 200
3 205
3 222
3 237
3 271
3 275
3 292
3 300
3 311
3 314
3 323
3 348
3 357
3 385
3 387
3 408
3 427
3 439
3 465
3 467
3 486
3 490
4 4
4 12
4 20
4 22
4 26
4 41
4 46
4 51
4 54
4 92
4 100
4 117
4 118
4 131
4 145
4 166
4 167
4 170
4 250
4 287
4 296
4 304
4 320
4 330
4 370
4 384
4 401
4 448
4 456
4 483
4 484
4 487
5 1
5 50
5 72
5 93
5 105
5 110
5 129
5 146
5 148
5 174
5 180
5 229
5 238
5 257
5 261
5 308
5 315
5 352
5 364
5 382
5 402
5 407
5 412
5 419
5 426
5 440
5 442
5 458
5 461
5 464
5 468
6 3
6 6
6 7
6 17
6 18
6 21
6 27
6 69
6 76
6 86
6 104
6 134
6 151
6 176
6 194
6 197
6 217
6 239
6 242
6 253
6 274
6 305
6 340
6 347
6 376
6 395
6 406
6 414
6 418
6 444
6 446
6 480
7 10
7 16
7 40
7 52
7 53
7 83
7 99
7 120
7 127
7 139
7 209
7 218
7 231
7 233
7 236
7 281
7 294
7 325
7 329
7 335
7 345
7 346
7 350
7 354
7 383
7 388
7 393
7 397
7 400
7 421
7 457
7 466
7 495
7 499
8 43
8 48
8 73
8 80
8 82
8 114
8 141
8 156
8 160
8 171
8 192
8 202
8 206
8 208
8 219
8 234
8 252
8 262
8 277
8 283
8 293
8 319
8 326
8 338
8 341
8 343
8 359
8 360
8 373
8 394
8 409
8 413
8 431
8 445
8 455
8 478
9 2
9 37
9 44
9 62
9 63
9 74
9 96
9 149
9 154
9 193
9 199
9 225
9 226
9 235
9 263
9 269
9 285
9 288
9 291
9 302
9 356
9 361
9 416
9 423
9 433
9 434
9 482
10 23
10 75
10 97
10 98
10 140
10 168
10 177
10 179
10 183
10 196
10 215
10 220
10 246
10 248
10 290
10 324
10 365
10 366
10 371
10 386
10 420
10 447
10 481
10 500
11 32
11 38
11 113
11 137
11 164
11 198
11 211
11 212
11 216
11 223
11 230
11 295
11 301
11 344
11 378
11 390
11 392
11 410
11 411
11 450
11 451
11 475
11 491
11 492
11 494
11 498
12 39
12 58
12 65
12 155
12 158
12 165
12 172
12 188
12 249
12 272
12 276
12 299
12 306
12 310
12 317
12 336
12 351
12 372
12 374
12 377
12 380
12 381
12 432
12 452
12 454
13 68
13 87
13 94
13 101
13 119
13 135
13 189
13 240
13 247
13 258
13 265
13 268
13 332
13 363
13 391
13 415
13 425
13 435
13 437
13 449
13 472
13 473
13 477
13 488
14 42
14 61
14 89
14 90
14 142
14 147
14 184
14 207
14 213
14 244
14 312
14 369
14 379
14 389
14 404
14 430
14 441
14 474
14 485
14 489
14 493
14 497
15 5
15 55
15 106
15 126
15 133
15 143
15 203
15 204
15 228
15 279
15 280
15 337
15 339
15 355
15 460
15 471
16 11
16 13
16 57
16 70
16 136
16 182
16 232
16 256
16 282
16 349
16 353
17 81
17 121
17 161
17 191
17 255
17 260
17 453
