graph resources/graph_datasets/dsjc500.1.col:
    best solution = 28

    time: avg  = 0.083790


0 29
0 36
0 48
0 53
0 78
0 107
0 114
0 128
0 139
0 146
0 194
0 224
0 284
0 329
0 340
0 345
0 350
0 385
0 388
0 412
0 422
0 431
0 440
0 444
0 458
0 465
0 470
0 475
0 483
0 484
0 493
1 6
1 37
1 41
1 49
1 56
1 57
1 64
1 71
1 89
1 99
1 119
1 166
1 171
1 175
1 179
1 180
1 192
1 197
1 214
1 217
1 227
1 248
1 272
1 285
1 292
1 304
1 320
1 321
1 335
1 348
1 386
1 401
1 456
1 492
2 5
2 11
2 31
2 45
2 75
2 83
2 106
2 117
2 124
2 126
2 132
2 133
2 138
2 156
2 269
2 270
2 273
2 286
2 289
2 301
2 324
2 327
2 337
2 354
2 377
2 392
2 400
2 413
2 423
2 426
2 427
2 438
2 439
2 463
2 495
3 15
3 20
3 100
3 109
3 129
3 131
3 134
3 169
3 172
3 174
3 199
3 219
3 233
3 249
3 256
3 257
3 259
3 280
3 317
3 343
3 357
3 367
3 405
3 443
3 449
3 467
3 476
3 489
4 80
4 84
4 94
4 113
4 137
4 141
4 157
4 162
4 177
4 183
4 196
4 215
4 222
4 281
4 299
4 307
4 316
4 334
4 352
4 360
4 379
4 411
4 416
4 418
4 433
4 445
4 460
4 461
4 466
4 469
4 480
4 486
5 32
5 33
5 54
5 67
5 70
5 73
5 77
5 90
5 92
5 104
5 110
5 123
5 144
5 163
5 165
5 182
5 206
5 207
5 230
5 238
5 283
5 297
5 331
5 344
5 347
5 364
5 374
5 424
5 447
5 462
5 497
6 8
6 18
6 24
6 39
6 50
6 79
6 85
6 142
6 151
6 181
6 187
6 212
6 236
6 274
6 282
6 296
6 308
6 314
6 356
6 365
6 369
6 380
6 382
6 390
6 393
6 396
6 406
6 434
6 491
7 16
7 23
7 34
7 46
7 52
7 98
7 116
7 122
7 150
7 188
7 193
7 202
7 229
7 241
7 271
7 310
7 318
7 366
7 370
7 371
7 395
7 398
7 417
7 446
7 453
7 488
8 43
8 51
8 76
8 93
8 97
8 127
8 140
8 147
8 184
8 189
8 200
8 210
8 220
8 221
8 225
8 226
8 234
8 287
8 361
8 399
8 420
8 435
8 457
8 487
9 3
9 27
9 38
9 66
9 81
9 86
9 102
9 121
9 130
9 148
9 203
9 213
9 223
9 232
9 255
9 267
9 291
9 325
9 359
9 410
9 430
9 450
9 474
9 494
9 498
10 14
10 26
10 35
10 59
10 101
10 143
10 160
10 178
10 201
10 228
10 237
10 258
10 290
10 298
10 315
10 333
10 346
10 373
10 391
10 459
10 464
11 13
11 17
11 19
11 55
11 63
11 108
11 115
11 145
11 173
11 191
11 242
11 247
11 263
11 306
11 342
11 351
11 414
11 425
11 429
11 454
12 7
12 44
12 74
12 88
12 105
12 125
12 149
12 153
12 186
12 216
12 240
12 278
12 279
12 323
12 355
12 362
12 403
12 479
12 499
13 9
13 21
13 82
13 190
13 198
13 268
13 294
13 309
13 312
13 319
13 358
13 363
13 387
13 448
13 451
13 452
13 482
14 10
14 25
14 30
14 72
14 96
14 103
14 120
14 168
14 204
14 243
14 295
14 322
14 421
14 442
14 471
14 500
15 65
15 91
15 112
15 118
15 158
15 159
15 185
15 246
15 252
15 300
15 305
15 326
15 378
15 383
15 394
15 496
16 42
16 155
16 195
16 231
16 260
16 266
16 328
16 332
16 341
16 353
16 384
16 389
16 485
17 58
17 68
17 87
17 95
17 135
17 330
17 339
17 381
17 409
17 419
17 432
17 455
17 473
17 490
18 12
18 28
18 152
18 161
18 176
18 239
18 262
18 336
18 338
18 372
18 468
19 136
19 167
19 170
19 208
19 209
19 253
19 293
19 408
19 415
20 4
20 61
20 218
20 275
20 397
20 402
20 404
20 407
20 477
20 478
21 60
21 164
21 235
21 245
21 250
21 302
21 303
21 349
21 368
22 1
22 2
22 22
22 40
22 47
22 254
22 264
22 276
22 428
23 311
23 313
23 437
23 441
24 62
24 69
24 251
24 265
24 376
24 436
25 205
25 244
25 261
25 277
25 472
25 481
26 154
26 211
26 375
27 111
27 288
