
graph resources/graph_datasets/R75_9gb.edgelist:
    base color: 37
    best solution:
        time    = 0.053821
        colors  = 33
    avg values:
        time    = 12.238136
        colors  = 33.200001


0 30
0 51
1 10
1 50
2 2
2 45
3 48
3 59
3 75
4 38
4 41
5 16
5 17
5 25
6 4
6 29
6 54
7 57
7 61
7 74
8 19
8 49
8 63
9 1
9 18
10 44
10 56
11 55
11 72
12 7
12 62
13 53
13 66
14 21
14 71
15 8
15 33
16 28
16 35
16 65
17 9
17 40
18 6
18 22
19 23
19 32
20 3
20 11
20 31
21 14
21 26
21 34
22 47
22 67
23 37
23 70
24 24
24 64
25 68
25 69
26 15
26 58
26 60
27 36
27 43
28 5
28 20
29 39
29 46
30 12
30 52
31 27
31 73
32 13
32 42
