
graph resources/graph_datasets/GEOM120b.edgelist:
    base color: 20
    best solution:
        time    = 0.781232
        colors  = 16
    avg values:
        time    = 4.942769
        colors  = 16.000000


0 13
0 32
0 38
0 61
0 94
0 103
0 107
0 112
1 22
1 39
1 41
1 67
1 72
1 75
1 76
1 77
1 93
2 10
2 12
2 15
2 30
2 52
2 66
2 81
2 84
2 110
3 19
3 33
3 64
3 89
3 97
3 98
3 111
3 113
4 7
4 17
4 21
4 25
4 35
4 44
4 46
4 65
4 114
5 3
5 5
5 34
5 48
5 53
5 60
5 69
5 86
5 109
6 11
6 14
6 18
6 36
6 54
6 58
6 68
6 70
6 108
7 8
7 28
7 50
7 51
7 59
7 63
7 80
7 100
7 101
7 115
8 6
8 16
8 20
8 23
8 24
8 40
8 71
9 4
9 31
9 45
9 73
9 74
9 79
9 83
9 118
10 37
10 78
10 82
10 92
10 95
10 117
11 49
11 55
11 62
11 85
11 91
11 99
11 120
12 1
12 2
12 47
12 56
12 88
12 90
12 105
12 119
13 26
13 96
13 102
13 116
14 29
14 42
14 43
14 104
14 106
15 9
15 27
15 57
15 87
