
graph resources/graph_datasets/GEOM80b.edgelist:
    base color: 14
    best solution:
        time    = 0.025344
        colors  = 12
    avg values:
        time    = 0.098135
        colors  = 12.000000


0 1
0 2
0 9
0 31
0 42
0 55
0 78
1 22
1 26
1 29
1 30
1 57
1 65
1 72
1 77
2 4
2 6
2 10
2 32
2 61
2 67
2 74
3 11
3 14
3 18
3 36
3 54
3 58
3 66
3 68
4 3
4 5
4 13
4 34
4 53
4 59
4 62
4 63
4 70
5 24
5 38
5 40
5 45
5 52
5 69
5 73
6 12
6 21
6 28
6 35
6 41
6 64
6 80
7 7
7 15
7 20
7 43
7 48
7 49
7 51
7 60
8 16
8 37
8 56
8 71
8 79
9 17
9 19
9 23
9 39
9 46
10 8
10 25
10 27
10 33
10 44
10 50
10 76
11 47
11 75
