
graph resources/graph_datasets/GEOM110b.edgelist:
    base color: 21
    best solution:
        time    = 0.253451
        colors  = 15
    avg values:
        time    = 2.321646
        colors  = 15.000000


0 4
0 9
0 10
0 19
0 20
0 23
0 34
0 36
0 46
0 89
0 110
1 8
1 24
1 40
1 59
1 61
1 77
1 101
1 103
1 107
2 14
2 42
2 50
2 60
2 63
2 70
2 74
2 92
2 99
2 100
3 1
3 7
3 31
3 38
3 45
3 69
3 73
3 78
4 22
4 29
4 43
4 53
4 76
4 86
4 94
4 108
5 13
5 21
5 25
5 35
5 64
5 66
5 67
5 97
5 98
6 3
6 5
6 51
6 56
6 62
6 85
6 87
6 91
7 12
7 18
7 33
7 39
7 41
7 48
7 82
7 95
8 47
8 49
8 52
8 57
8 68
8 83
8 84
8 88
8 106
9 15
9 27
9 32
9 65
9 75
9 102
10 17
10 30
10 44
10 72
10 81
10 93
10 96
11 2
11 6
11 37
11 54
11 80
11 90
11 105
12 11
12 16
12 28
12 55
12 104
12 109
13 71
13 79
14 26
14 58
