
graph resources/graph_datasets/R100_5gb.edgelist:
    base color: 22
    best solution:
        time    = 1.627437
        colors  = 16
    avg values:
        time    = 36.177773
        colors  = 16.100000


0 18
0 26
0 39
0 44
0 84
0 100
1 24
1 50
1 61
1 63
1 64
1 66
1 83
1 89
2 17
2 19
2 20
2 22
2 37
2 40
3 3
3 34
3 53
3 55
3 65
3 73
3 80
4 25
4 33
4 38
4 43
4 58
4 59
4 68
4 77
5 2
5 21
5 29
5 32
5 45
5 48
5 62
5 78
5 92
6 6
6 23
6 35
6 41
6 87
6 95
7 10
7 12
7 14
7 28
7 49
7 76
7 90
7 96
8 5
8 27
8 31
8 46
8 51
8 86
8 99
9 7
9 8
9 11
9 72
9 81
9 93
10 36
10 69
10 70
10 82
10 88
11 4
11 16
11 54
11 79
11 98
12 15
12 42
12 47
12 57
12 60
12 94
13 9
13 30
13 52
13 85
14 1
14 71
14 74
14 97
15 13
15 56
15 67
15 75
15 91
