
graph resources/graph_datasets/DSJC500.1.edgelist:
    base color: 20
    best solution:
        time    = 67.633827
        colors  = 16
    avg values:
        time    = 189.071716
        colors  = 16.000000


0 1
0 6
0 26
0 45
0 65
0 75
0 93
0 98
0 105
0 114
0 116
0 129
0 134
0 152
0 161
0 163
0 170
0 194
0 233
0 245
0 261
0 298
0 310
0 314
0 315
0 346
0 366
0 375
0 400
0 412
0 413
0 417
0 418
0 419
0 424
0 427
0 464
0 496
1 11
1 17
1 38
1 63
1 81
1 95
1 99
1 104
1 141
1 145
1 169
1 172
1 190
1 196
1 218
1 223
1 235
1 236
1 250
1 253
1 259
1 285
1 293
1 305
1 312
1 319
1 320
1 330
1 336
1 342
1 360
1 372
1 382
1 406
1 416
1 425
1 430
1 450
1 483
1 491
1 493
1 500
2 7
2 13
2 15
2 29
2 41
2 46
2 58
2 61
2 68
2 76
2 88
2 91
2 101
2 107
2 112
2 126
2 147
2 155
2 158
2 171
2 213
2 222
2 234
2 265
2 273
2 300
2 308
2 316
2 317
2 391
2 420
2 428
2 435
2 443
2 469
2 473
2 477
2 478
2 484
2 485
2 489
3 16
3 28
3 73
3 82
3 86
3 87
3 97
3 110
3 115
3 133
3 142
3 150
3 156
3 188
3 191
3 200
3 216
3 219
3 242
3 246
3 247
3 270
3 280
3 301
3 306
3 311
3 321
3 347
3 351
3 371
3 403
3 404
3 429
3 447
3 459
3 468
3 495
4 18
4 36
4 39
4 47
4 52
4 72
4 74
4 80
4 85
4 89
4 135
4 146
4 168
4 174
4 182
4 185
4 187
4 197
4 211
4 212
4 215
4 240
4 264
4 318
4 326
4 332
4 355
4 364
4 378
4 383
4 390
4 392
4 401
4 407
4 432
4 448
4 476
4 486
5 4
5 12
5 22
5 25
5 50
5 51
5 53
5 54
5 84
5 113
5 119
5 120
5 123
5 127
5 140
5 159
5 167
5 184
5 203
5 237
5 241
5 277
5 287
5 291
5 297
5 299
5 304
5 325
5 331
5 337
5 339
5 340
5 396
5 434
5 436
5 442
6 2
6 9
6 21
6 23
6 30
6 35
6 60
6 71
6 77
6 92
6 139
6 148
6 153
6 165
6 173
6 199
6 201
6 204
6 226
6 230
6 288
6 292
6 302
6 323
6 327
6 333
6 343
6 345
6 358
6 365
6 370
6 395
6 408
6 446
6 470
6 481
6 488
6 492
7 10
7 56
7 57
7 102
7 103
7 136
7 166
7 175
7 195
7 198
7 207
7 225
7 227
7 238
7 244
7 256
7 268
7 303
7 328
7 338
7 350
7 352
7 353
7 361
7 363
7 377
7 388
7 398
7 422
7 423
7 426
7 433
7 437
7 438
7 458
7 480
8 8
8 34
8 48
8 55
8 106
8 124
8 137
8 138
8 143
8 162
8 180
8 202
8 206
8 209
8 224
8 229
8 232
8 251
8 252
8 257
8 260
8 278
8 334
8 344
8 362
8 367
8 386
8 393
8 405
8 440
8 456
8 460
8 461
8 466
8 487
9 20
9 24
9 37
9 44
9 49
9 67
9 78
9 100
9 108
9 118
9 121
9 177
9 192
9 214
9 282
9 283
9 286
9 295
9 324
9 348
9 359
9 373
9 394
9 397
9 409
9 441
9 445
9 451
9 453
9 457
9 463
9 471
9 479
9 482
9 490
9 498
10 3
10 5
10 14
10 27
10 32
10 33
10 66
10 69
10 122
10 144
10 157
10 186
10 193
10 205
10 217
10 228
10 249
10 279
10 296
10 307
10 354
10 369
10 374
10 381
10 385
10 410
10 411
10 415
10 452
10 467
10 474
11 42
11 43
11 59
11 83
11 111
11 125
11 154
11 160
11 248
11 255
11 272
11 276
11 281
11 290
11 294
11 322
11 341
11 368
11 380
11 384
11 387
11 389
11 399
11 421
11 449
11 454
11 455
11 462
11 472
12 90
12 109
12 117
12 128
12 151
12 164
12 179
12 181
12 183
12 189
12 208
12 220
12 243
12 254
12 258
12 267
12 274
12 275
12 284
12 289
12 335
12 356
12 414
12 475
13 31
13 70
13 176
13 178
13 210
13 231
13 239
13 263
13 266
13 379
13 431
13 444
13 465
13 494
13 497
14 62
14 64
14 79
14 94
14 96
14 131
14 149
14 221
14 271
14 349
14 357
14 376
14 402
14 439
14 499
15 19
15 40
15 130
15 132
15 262
15 269
15 309
15 313
15 329
