
graph resources/graph_datasets/GEOM80a.edgelist:
    base color: 13
    best solution:
        time    = 0.000462
        colors  = 12
    avg values:
        time    = 0.009771
        colors  = 12.000000


0 5
0 8
0 26
0 43
0 44
0 51
0 79
1 23
1 27
1 31
1 34
1 37
1 48
1 61
1 69
1 76
2 3
2 16
2 22
2 24
2 29
2 53
2 57
2 72
2 80
3 6
3 25
3 35
3 38
3 46
3 70
4 1
4 4
4 17
4 55
4 56
4 60
4 66
4 71
4 74
5 7
5 12
5 28
5 32
5 36
5 49
5 62
5 63
6 18
6 21
6 41
6 45
6 50
6 58
6 75
7 10
7 13
7 30
7 59
7 65
7 68
7 78
8 2
8 9
8 19
8 52
8 73
9 20
9 33
9 40
9 42
9 54
10 39
10 47
10 64
10 77
11 11
11 14
11 15
11 67
