
graph resources/graph_datasets/GEOM60a.edgelist:
    base color: 17
    best solution:
        time    = 0.001566
        colors  = 10
    avg values:
        time    = 0.004856
        colors  = 10.000000


0 2
0 8
0 13
0 16
0 26
0 39
0 52
1 6
1 25
1 29
1 37
1 45
1 46
2 1
2 27
2 34
2 35
2 42
2 53
2 57
3 15
3 28
3 33
3 38
3 47
3 58
3 60
4 5
4 11
4 18
4 23
4 41
4 50
5 9
5 10
5 17
5 30
5 43
5 44
5 49
6 3
6 19
6 21
6 22
6 40
7 14
7 20
7 24
7 31
7 51
7 54
7 59
8 4
8 12
8 36
8 55
8 56
9 7
9 32
9 48
