
graph resources/graph_datasets/R75_5gb.edgelist:
    base color: 17
    best solution:
        time    = 4.597503
        colors  = 13
    avg values:
        time    = 25.823584
        colors  = 13.000000


0 13
0 14
0 28
0 31
0 36
0 73
1 12
1 19
1 24
1 29
1 53
1 57
1 64
2 4
2 16
2 26
2 30
2 35
2 65
2 71
3 17
3 27
3 38
3 43
3 59
4 9
4 10
4 34
4 46
4 54
4 68
5 5
5 23
5 37
5 49
5 52
5 72
6 21
6 39
6 41
6 47
6 48
6 61
7 33
7 40
7 58
7 62
7 69
7 70
7 75
8 1
8 8
8 11
8 20
8 42
8 55
9 7
9 15
9 56
9 63
9 66
10 2
10 3
10 6
10 44
10 45
11 32
11 60
11 67
11 74
12 18
12 22
12 25
12 50
12 51
