
graph resources/graph_datasets/myciel6gb.edgelist:
    base color: 8
    best solution:
        time    = 0.001039
        colors  = 7
    avg values:
        time    = 0.002274
        colors  = 7.000000


0 1
0 5
0 16
0 52
0 57
0 58
0 63
0 64
0 68
0 69
0 76
0 80
0 81
0 82
0 86
0 87
0 92
0 94
1 6
1 8
1 12
1 14
1 17
1 19
1 26
1 29
1 31
1 35
1 37
1 48
1 50
1 55
1 59
1 61
1 66
1 67
1 71
1 73
1 78
1 84
1 88
1 91
2 2
2 4
2 9
2 13
2 15
2 18
2 20
2 25
2 27
2 32
2 36
2 38
2 41
2 43
2 51
2 56
2 62
2 65
2 72
2 79
2 90
3 7
3 28
3 30
3 33
3 39
3 42
3 44
3 46
3 54
3 74
3 75
3 77
3 83
3 85
3 93
4 3
4 22
4 24
4 34
4 40
4 45
4 95
5 11
5 23
5 47
5 49
5 70
6 10
6 21
6 53
6 60
6 89
