
graph resources/graph_datasets/GEOM80a.edgelist:
    base color: 13
    best solution:
        time    = 0.000950
        colors  = 12
    avg values:
        time    = 1.512522
        colors  = 12.000000


0 3
0 10
0 12
0 32
0 43
0 49
0 58
0 64
0 65
1 22
1 29
1 33
1 40
1 45
1 57
1 68
1 74
2 16
2 20
2 24
2 37
2 42
2 54
2 55
2 76
3 28
3 36
3 47
3 51
3 59
3 61
3 62
4 2
4 18
4 23
4 26
4 27
4 30
4 39
4 77
5 1
5 9
5 14
5 17
5 53
5 56
5 60
5 66
6 7
6 19
6 72
6 73
6 80
7 4
7 5
7 11
7 48
7 63
7 71
8 6
8 8
8 21
8 25
8 31
8 50
8 69
8 70
9 15
9 44
9 52
9 75
10 13
10 46
10 67
10 79
11 34
11 35
11 38
11 41
11 78
