
graph resources/graph_datasets/R100_5gb.edgelist:
    base color: 21
    best solution:
        time    = 64.202019
        colors  = 16
    avg values:
        time    = 28.730404
        colors  = 16.900000


0 15
0 29
0 32
0 34
0 57
0 62
0 92
1 5
1 44
1 60
1 69
1 74
1 88
1 96
2 1
2 9
2 19
2 53
2 73
2 76
3 33
3 38
3 43
3 55
3 68
3 79
3 90
3 98
4 6
4 37
4 42
4 82
4 83
4 85
4 87
5 2
5 4
5 10
5 12
5 40
5 94
6 8
6 18
6 39
6 72
6 86
6 100
7 11
7 30
7 46
7 49
7 52
7 78
8 3
8 25
8 28
8 51
8 64
8 77
8 84
9 13
9 22
9 45
9 67
9 71
9 75
9 91
10 47
10 48
10 54
10 61
10 66
10 89
10 93
11 14
11 24
11 27
11 63
11 80
11 81
12 17
12 20
12 36
12 70
12 97
13 23
13 26
13 31
13 50
13 65
13 99
14 7
14 16
14 21
14 41
14 59
15 35
15 56
15 58
15 95
