
graph resources/graph_datasets/GEOM110b.edgelist:
    base color: 20
    best solution:
        time    = 6.551415
        colors  = 16
    avg values:
        time    = 39.808304
        colors  = 16.000000


0 3
0 16
0 20
0 24
0 28
0 43
0 52
0 53
0 108
1 18
1 21
1 27
1 48
1 67
1 68
1 98
1 106
2 17
2 22
2 29
2 39
2 44
2 70
2 74
2 94
2 101
3 8
3 14
3 54
3 60
3 63
3 71
3 78
3 100
4 26
4 35
4 37
4 56
4 85
4 88
4 95
4 107
5 4
5 6
5 7
5 50
5 72
5 81
5 93
5 105
6 42
6 45
6 49
6 66
6 84
6 86
7 9
7 13
7 31
7 32
7 73
7 92
8 1
8 11
8 19
8 38
8 80
8 104
9 15
9 25
9 51
9 65
9 77
9 82
9 87
9 99
10 5
10 23
10 30
10 34
10 36
10 40
10 79
10 83
10 110
11 2
11 55
11 57
11 91
11 97
12 10
12 12
12 33
12 41
12 59
12 64
12 89
13 46
13 47
13 62
13 69
13 75
13 109
14 76
14 90
14 96
14 102
15 58
15 61
15 103
