
graph resources/graph_datasets/GEOM120a.edgelist:
    base color: 19
    best solution:
        time    = 0.033769
        colors  = 16
    avg values:
        time    = 0.065743
        colors  = 16.000000


0 3
0 14
0 17
0 31
0 73
0 75
0 88
0 91
1 15
1 16
1 20
1 21
1 24
1 47
1 76
1 80
1 84
1 115
2 1
2 9
2 29
2 66
2 74
2 79
2 85
2 102
2 106
3 4
3 11
3 28
3 63
3 81
3 96
3 116
4 8
4 33
4 37
4 61
4 86
4 89
4 101
4 104
4 119
5 23
5 34
5 42
5 64
5 65
5 69
5 83
5 107
6 19
6 25
6 50
6 51
6 52
6 53
6 68
6 90
7 35
7 56
7 71
7 100
7 103
7 110
8 36
8 45
8 46
8 62
8 111
8 114
8 120
9 30
9 43
9 48
9 55
9 72
9 95
9 105
9 117
10 6
10 49
10 54
10 70
10 87
10 108
10 109
10 118
11 2
11 7
11 10
11 32
11 38
11 41
11 44
11 59
11 99
12 26
12 39
12 40
12 57
12 92
12 113
13 5
13 12
13 13
13 78
13 97
13 98
14 22
14 27
14 67
14 77
14 94
14 112
15 18
15 58
15 60
15 82
15 93
