
graph resources/graph_datasets/GEOM110a.edgelist:
    base color: 17
    best solution:
        time    = 0.035266
        colors  = 14
    avg values:
        time    = 0.178207
        colors  = 14.000000


0 19
0 26
0 43
0 51
0 73
0 75
0 80
1 1
1 23
1 46
1 69
1 71
1 84
1 88
1 97
2 9
2 35
2 53
2 61
2 67
2 76
2 93
2 102
3 5
3 17
3 29
3 38
3 41
3 56
3 78
3 110
4 6
4 7
4 13
4 32
4 55
4 81
4 105
4 109
5 18
5 20
5 28
5 34
5 63
5 91
5 99
5 107
6 27
6 40
6 45
6 49
6 54
6 70
6 90
6 100
7 2
7 15
7 21
7 44
7 47
7 52
7 72
7 85
7 103
8 3
8 33
8 58
8 60
8 74
8 77
8 92
8 96
8 108
9 8
9 16
9 36
9 37
9 86
9 87
9 89
9 101
10 14
10 25
10 31
10 39
10 42
10 50
10 64
10 68
10 94
11 4
11 30
11 48
11 66
11 95
11 104
11 106
12 12
12 22
12 57
12 59
12 62
12 65
12 83
12 98
13 10
13 11
13 24
13 79
13 82
