
graph resources/graph_datasets/R100_1gb.edgelist:
    base color: 7
    best solution:
        time    = 29.791826
        colors  = 5
    avg values:
        time    = 3.201441
        colors  = 5.900000


0 2
0 4
0 6
0 7
0 11
0 16
0 18
0 20
0 25
0 26
0 27
0 38
0 39
0 42
0 47
0 49
0 55
0 57
0 64
0 66
0 81
0 82
0 99
1 3
1 8
1 9
1 10
1 12
1 14
1 15
1 21
1 29
1 31
1 34
1 37
1 40
1 44
1 53
1 58
1 61
1 63
1 70
1 73
1 77
1 84
1 85
1 87
1 91
2 1
2 5
2 13
2 17
2 19
2 22
2 24
2 28
2 33
2 45
2 52
2 54
2 62
2 78
2 89
2 90
2 97
2 98
3 30
3 32
3 35
3 46
3 48
3 50
3 56
3 59
3 60
3 65
3 67
3 68
3 69
3 71
3 76
3 80
3 83
3 86
3 88
3 92
3 93
3 95
3 96
3 100
4 23
4 36
4 41
4 43
4 51
4 72
4 74
4 75
4 79
4 94
