
graph resources/graph_datasets/R100_9gb.edgelist:
    base color: 48
    best solution:
        time    = 19.626348
        colors  = 36
    avg values:
        time    = 84.106964
        colors  = 36.500000


0 33
0 58
0 94
1 14
1 68
1 92
2 19
2 41
2 98
3 10
3 37
3 84
4 71
4 85
5 1
5 40
5 78
6 35
6 65
6 81
7 16
7 77
7 89
8 11
8 13
8 86
9 32
9 75
9 95
10 2
10 56
10 59
11 21
11 90
12 26
12 45
12 76
13 27
13 29
13 46
13 57
14 31
14 36
14 52
14 99
15 8
15 54
15 93
16 9
16 20
16 91
17 73
17 97
18 18
18 47
18 96
19 3
19 28
19 63
20 6
20 42
20 62
21 39
21 55
21 88
22 22
22 51
22 60
23 43
23 53
24 72
24 87
25 7
25 15
26 83
26 100
27 34
27 50
28 12
28 17
28 61
28 79
29 30
29 66
29 74
30 4
30 64
30 70
31 69
31 82
32 44
32 80
33 38
33 49
34 5
34 25
34 48
35 23
35 24
35 67
