
graph resources/graph_datasets/GEOM70a.edgelist:
    base color: 12
    best solution:
        time    = 0.000608
        colors  = 11
    avg values:
        time    = 0.052388
        colors  = 11.000000


0 13
0 27
0 33
0 34
0 42
0 58
0 69
1 5
1 15
1 25
1 32
1 48
1 56
1 57
1 60
2 8
2 10
2 17
2 18
2 26
2 37
2 39
2 53
3 22
3 28
3 29
3 50
3 63
3 66
3 67
3 68
4 2
4 7
4 19
4 20
4 51
4 52
4 62
5 12
5 16
5 31
5 36
5 40
5 46
6 6
6 9
6 21
6 23
6 30
6 43
6 55
6 70
7 4
7 14
7 38
7 61
7 64
7 65
8 35
8 41
8 44
8 54
9 1
9 3
9 11
9 45
10 24
10 47
10 49
10 59
