
graph resources/graph_datasets/GEOM60a.edgelist:
    base color: 15
    best solution:
        time    = 0.037577
        colors  = 10
    avg values:
        time    = 0.125278
        colors  = 10.000000


0 8
0 14
0 18
0 26
0 39
0 49
0 53
0 59
1 1
1 10
1 22
1 29
1 37
1 50
2 2
2 7
2 12
2 17
2 32
2 36
2 38
3 3
3 5
3 16
3 19
3 21
3 30
4 15
4 23
4 27
4 28
4 33
4 47
4 57
4 60
5 20
5 41
5 42
5 44
5 52
5 54
6 6
6 9
6 25
6 51
6 55
6 56
7 40
7 45
7 46
7 48
8 24
8 31
8 34
8 58
9 4
9 11
9 13
9 35
9 43
