
graph resources/graph_datasets/GEOM80b.edgelist:
    base color: 15
    best solution:
        time    = 2.330552
        colors  = 12
    avg values:
        time    = 8.935646
        colors  = 12.000000


0 8
0 23
0 29
0 35
0 44
0 62
0 63
0 71
0 78
0 79
1 6
1 11
1 24
1 25
1 28
1 31
1 54
1 61
1 67
2 5
2 10
2 12
2 13
2 21
2 41
2 47
2 52
2 64
2 66
3 4
3 9
3 15
3 43
3 45
3 49
3 69
4 22
4 39
4 51
4 72
4 75
4 76
4 77
4 80
5 14
5 20
5 33
5 48
5 50
5 60
5 70
6 19
6 30
6 38
6 40
6 59
6 73
7 1
7 3
7 7
7 27
7 32
7 34
7 53
8 16
8 17
8 56
8 74
9 18
9 36
9 42
9 46
9 68
10 2
10 37
10 55
11 26
11 57
11 58
11 65
