
graph resources/graph_datasets/GEOM120b.edgelist:
    base color: 21
    best solution:
        time    = 117.436600
        colors  = 16
    avg values:
        time    = 32.387424
        colors  = 16.900000


0 4
0 6
0 40
0 45
0 61
0 85
0 89
0 103
1 1
1 5
1 23
1 24
1 36
1 43
1 52
1 79
1 110
1 113
2 3
2 9
2 20
2 28
2 34
2 35
2 53
2 60
2 78
3 18
3 25
3 66
3 67
3 69
3 80
3 97
3 98
3 106
4 27
4 49
4 55
4 57
4 62
4 93
4 107
4 108
4 111
5 32
5 33
5 48
5 50
5 92
5 94
5 109
5 120
6 21
6 26
6 44
6 58
6 65
6 101
6 114
6 115
7 11
7 14
7 38
7 54
7 68
7 70
7 73
7 74
7 112
8 7
8 39
8 51
8 91
8 100
8 102
8 116
8 117
9 13
9 19
9 41
9 59
9 72
9 83
9 87
9 118
10 12
10 64
10 81
10 86
10 105
11 8
11 31
11 42
11 46
11 47
11 71
11 95
11 99
12 22
12 37
12 56
12 75
12 76
12 88
13 16
13 29
13 77
13 84
13 104
14 17
14 63
14 82
14 96
15 2
15 10
15 15
15 30
15 90
15 119
