
graph resources/graph_datasets/DSJC250.9.edgelist:
    base color: 95
    best solution:
        time    = 6231.286621
        colors  = 81
    avg values:
        time    = 4073.640625
        colors  = 81.699997


0 83
0 183
0 187
0 226
1 15
1 46
1 86
1 97
2 36
2 90
2 223
3 31
3 44
3 225
3 237
4 117
4 231
4 244
5 14
5 180
5 188
6 28
6 167
6 194
6 218
7 29
7 65
7 140
7 170
8 17
8 43
8 50
8 157
9 24
9 115
9 236
10 151
10 158
10 182
10 186
11 79
11 165
11 234
12 13
12 19
12 76
12 162
13 75
13 222
13 241
14 62
14 77
14 203
15 5
15 48
15 114
15 229
16 4
16 30
16 74
17 71
17 124
17 200
17 213
18 61
18 112
18 123
19 8
19 32
19 172
20 52
20 120
20 168
21 10
21 45
21 143
22 16
22 99
22 109
23 42
23 53
23 91
23 142
24 81
24 116
24 134
24 196
25 219
25 242
25 248
26 89
26 155
26 193
27 54
27 159
27 217
28 111
28 176
28 221
29 68
29 72
29 92
29 126
30 26
30 96
30 215
31 7
31 100
31 195
32 73
32 128
32 184
33 156
33 171
33 206
33 210
34 163
34 179
34 185
35 37
35 58
35 127
36 35
36 56
36 146
37 95
37 169
37 173
38 70
38 104
38 132
39 67
39 101
39 125
39 198
40 11
40 103
40 202
40 228
41 9
41 21
41 60
41 174
42 2
42 39
42 40
42 148
43 25
43 93
43 199
44 23
44 47
44 145
44 243
45 102
45 119
45 166
45 247
46 3
46 69
46 88
46 154
47 1
47 18
47 55
48 34
48 211
48 235
49 41
49 106
49 141
49 181
50 85
50 135
50 197
51 147
51 208
51 240
52 66
52 122
52 177
53 63
53 131
53 139
54 80
54 201
55 27
55 207
55 220
56 64
56 160
56 216
57 192
57 239
57 249
58 107
58 113
59 105
59 118
59 246
60 12
60 129
60 224
61 51
61 98
61 152
62 108
62 153
63 59
63 94
63 178
64 84
64 144
64 233
65 38
65 212
66 191
66 205
66 232
66 250
67 22
67 121
67 133
68 149
68 204
69 130
69 138
69 150
70 136
70 175
70 189
71 82
71 161
72 87
72 245
73 137
73 238
74 57
74 230
75 20
75 49
76 164
76 190
77 33
77 78
78 6
78 209
79 214
80 110
80 227
