
graph resources/graph_datasets/GEOM100.edgelist:
    base color: 11
    best solution:
        time    = 0.323513
        colors  = 9
    avg values:
        time    = 1.550115
        colors  = 9.000000


0 1
0 10
0 15
0 17
0 19
0 24
0 26
0 27
0 37
0 53
0 57
0 69
0 76
0 83
0 95
1 4
1 11
1 13
1 14
1 21
1 35
1 41
1 43
1 48
1 72
1 82
1 84
1 90
1 91
1 99
2 18
2 20
2 32
2 40
2 47
2 49
2 61
2 63
2 64
2 67
2 85
2 100
3 6
3 23
3 33
3 34
3 44
3 46
3 51
3 59
3 60
3 77
3 89
3 96
4 2
4 8
4 9
4 12
4 36
4 39
4 42
4 55
4 58
4 70
4 86
4 93
5 7
5 25
5 31
5 38
5 56
5 62
5 71
5 73
5 75
5 78
5 92
5 97
5 98
6 28
6 30
6 50
6 68
6 74
6 80
6 87
6 94
7 3
7 16
7 29
7 52
7 65
7 66
7 88
8 5
8 22
8 45
8 54
8 79
8 81
