
graph resources/graph_datasets/GEOM100a.edgelist:
    base color: 16
    best solution:
        time    = 0.009455
        colors  = 13
    avg values:
        time    = 0.889483
        colors  = 13.000000


0 30
0 43
0 50
0 68
0 80
0 88
0 91
0 100
1 2
1 15
1 16
1 24
1 27
1 47
1 49
1 52
1 70
2 10
2 17
2 20
2 41
2 51
2 54
2 78
2 83
2 90
3 25
3 29
3 35
3 53
3 56
3 64
3 65
3 96
3 98
4 5
4 13
4 18
4 34
4 39
4 72
4 79
4 97
4 99
5 21
5 22
5 48
5 55
5 60
5 63
5 82
5 85
6 8
6 14
6 19
6 31
6 37
6 59
6 61
6 73
6 86
6 89
7 1
7 3
7 23
7 28
7 38
7 84
7 92
8 4
8 11
8 44
8 57
8 87
8 95
9 7
9 32
9 40
9 42
9 45
9 67
9 74
9 76
9 93
10 26
10 33
10 66
10 69
10 71
10 75
11 6
11 46
11 58
11 77
11 81
11 94
12 9
12 12
12 36
12 62
