
graph resources/graph_datasets/GEOM70.edgelist:
    base color: 13
    best solution:
        time    = 0.001660
        colors  = 8
    avg values:
        time    = 0.012231
        colors  = 8.000000


0 2
0 6
0 8
0 15
0 25
0 26
0 31
0 32
0 34
0 38
0 56
0 66
1 4
1 10
1 17
1 19
1 28
1 33
1 49
1 57
1 64
1 67
1 70
2 3
2 16
2 18
2 20
2 24
2 41
2 46
2 50
2 53
2 55
2 69
3 7
3 23
3 35
3 39
3 40
3 42
3 47
3 51
3 58
3 68
4 11
4 12
4 13
4 14
4 21
4 45
4 48
4 54
4 59
4 60
5 1
5 22
5 30
5 36
5 37
5 44
5 61
6 9
6 27
6 29
6 43
6 52
6 62
7 5
7 63
7 65
