
graph resources/graph_datasets/R100_9g.edgelist:
    base color: 47
    best solution:
        time    = 379.282532
        colors  = 35
    avg values:
        time    = 78.928749
        colors  = 36.400002


0 39
0 55
0 88
1 1
1 40
1 78
2 12
2 17
2 61
2 79
3 26
3 45
3 76
4 27
4 29
4 46
4 57
5 9
5 77
5 85
6 3
6 10
6 14
7 83
7 94
7 99
8 18
8 47
8 96
9 4
9 24
9 67
10 20
10 89
10 91
11 11
11 13
11 86
12 8
12 54
12 93
13 35
13 65
13 81
14 2
14 56
14 59
15 7
15 15
15 16
16 30
16 66
16 74
16 95
17 23
17 84
17 100
18 19
18 41
18 98
19 43
19 53
20 58
20 63
21 31
21 36
21 38
21 52
22 5
22 25
22 48
23 6
23 42
23 62
24 28
24 37
24 71
25 44
25 70
26 22
26 51
26 60
27 72
27 87
28 73
28 97
29 21
29 90
30 34
30 50
31 32
31 75
32 69
32 82
33 33
33 68
33 92
34 49
34 64
34 80
