
graph resources/graph_datasets/R75_5gb.edgelist:
    base color: 16
    best solution:
        time    = 14.314942
        colors  = 13
    avg values:
        time    = 9.554983
        colors  = 13.800000


0 12
0 27
0 33
0 39
0 40
0 48
0 55
0 67
1 2
1 32
1 58
1 60
1 61
1 74
2 4
2 6
2 7
2 37
2 45
2 62
3 17
3 35
3 38
3 53
3 57
4 14
4 36
4 47
4 63
4 64
4 71
4 73
5 1
5 10
5 24
5 34
5 42
5 54
6 3
6 9
6 16
6 44
6 72
7 19
7 23
7 43
7 49
7 59
7 66
8 5
8 11
8 13
8 15
8 26
8 52
9 8
9 20
9 28
9 50
9 69
9 75
10 22
10 25
10 29
10 41
10 46
10 51
11 18
11 31
11 65
11 68
12 21
12 30
12 56
12 70
