
graph resources/graph_datasets/GEOM70b.edgelist:
    base color: 13
    best solution:
        time    = 4.076292
        colors  = 10
    avg values:
        time    = 10.242280
        colors  = 10.000000


0 22
0 24
0 26
0 29
0 40
0 48
0 57
0 65
0 68
1 3
1 9
1 10
1 15
1 21
1 30
1 34
1 35
1 49
1 52
2 4
2 6
2 7
2 17
2 23
2 37
2 45
2 69
3 5
3 20
3 27
3 33
3 43
3 47
3 53
3 62
4 11
4 13
4 25
4 31
4 54
4 56
4 61
4 67
4 70
5 12
5 18
5 32
5 39
5 41
6 2
6 28
6 42
6 51
6 55
7 1
7 8
7 16
7 44
7 50
7 63
8 46
8 59
8 60
8 64
8 66
9 14
9 19
9 36
9 38
9 58
