
graph resources/graph_datasets/GEOM90b.edgelist:
    base color: 16
    best solution:
        time    = 0.000686
        colors  = 15
    avg values:
        time    = 0.020738
        colors  = 15.000000


0 6
0 20
0 33
0 35
0 41
0 62
0 71
0 89
1 22
1 23
1 26
1 29
1 30
1 37
1 39
1 57
1 68
1 77
2 1
2 3
2 7
2 9
2 16
2 34
2 53
2 79
2 88
3 14
3 24
3 38
3 40
3 45
3 61
3 63
3 85
4 5
4 44
4 50
4 59
4 60
4 67
4 74
5 25
5 42
5 49
5 51
5 66
5 84
5 86
6 4
6 21
6 46
6 48
6 65
6 75
7 11
7 19
7 64
7 72
7 78
8 8
8 10
8 13
8 52
8 70
8 73
8 81
8 83
9 12
9 15
9 18
9 27
9 47
9 82
10 17
10 32
10 56
10 80
11 2
11 54
11 55
12 31
12 36
12 43
12 76
13 28
13 69
13 87
14 58
14 90
