
graph resources/graph_datasets/R75_9gb.edgelist:
    base color: 39
    best solution:
        time    = 137.499405
        colors  = 33
    avg values:
        time    = 60.836815
        colors  = 34.200001


0 25
0 43
0 50
1 4
1 46
1 73
2 7
2 69
3 30
3 51
4 14
4 26
4 34
5 48
5 52
5 75
6 58
6 62
7 2
7 9
7 24
8 55
8 72
9 5
9 68
10 19
10 49
10 63
11 57
11 61
11 74
12 3
12 42
13 27
13 38
14 10
14 60
15 20
15 40
16 17
16 45
17 28
17 35
17 65
18 15
18 44
19 6
19 13
19 22
20 33
20 56
21 64
21 70
22 16
22 31
23 39
23 41
24 1
24 53
25 23
25 32
26 47
26 67
27 8
27 37
28 12
28 21
29 29
29 54
30 59
30 71
31 11
31 36
32 18
32 66
