
graph resources/graph_datasets/myciel6g.edgelist:
    base color: 7
    best solution:
        time    = 0.000271
        colors  = 7
    avg values:
        time    = 0.000802
        colors  = 7.000000


0 48
0 49
0 50
0 51
0 52
0 53
0 54
0 55
0 56
0 57
0 58
0 59
0 60
0 61
0 64
0 65
0 68
0 69
0 70
0 71
0 72
0 74
0 77
0 79
0 80
0 81
0 82
0 92
0 93
1 12
1 13
1 15
1 16
1 17
1 19
1 22
1 35
1 36
1 37
1 38
1 39
1 40
1 41
1 43
1 44
1 45
1 63
1 66
1 83
1 84
1 85
1 86
1 87
1 88
1 89
1 90
2 4
2 9
2 20
2 25
2 26
2 27
2 30
2 31
2 32
2 42
2 62
2 67
2 73
3 1
3 5
3 6
3 23
3 24
3 28
3 29
3 33
3 46
3 75
3 76
4 7
4 8
4 10
4 18
4 21
4 78
4 91
4 94
5 3
5 11
5 14
5 34
5 95
6 2
6 47
