
graph resources/graph_datasets/DSJC500.5.edgelist:
    base color: 72
    best solution:
        time    = 5548.678223
        colors  = 61
    avg values:
        time    = 12940.805664
        colors  = 61.299999


0 33
0 59
0 62
0 64
0 113
0 129
0 148
0 181
0 258
0 375
0 438
1 52
1 54
1 118
1 132
1 170
1 249
1 344
1 486
2 43
2 67
2 147
2 256
2 376
2 391
2 424
2 437
2 491
3 32
3 105
3 120
3 124
3 173
3 175
3 187
3 287
3 335
3 347
4 133
4 201
4 207
4 236
4 294
4 404
4 426
4 465
4 468
5 23
5 103
5 121
5 157
5 194
5 221
5 268
5 354
5 382
5 449
5 453
6 89
6 99
6 115
6 188
6 251
6 272
6 302
6 336
6 429
6 474
7 27
7 50
7 87
7 135
7 182
7 257
7 360
7 430
7 472
8 137
8 152
8 172
8 174
8 224
8 259
8 267
8 402
8 415
8 428
9 45
9 71
9 85
9 86
9 123
9 127
9 142
9 237
9 253
10 25
10 114
10 134
10 215
10 247
10 296
10 389
10 408
10 457
10 475
11 16
11 109
11 180
11 225
11 226
11 281
11 349
11 353
11 461
11 484
12 42
12 46
12 240
12 243
12 330
12 342
12 346
12 350
13 2
13 90
13 100
13 151
13 270
13 343
13 397
13 455
13 462
14 1
14 4
14 10
14 96
14 126
14 210
14 266
15 8
15 39
15 84
15 107
15 198
15 337
15 407
15 489
16 3
16 15
16 279
16 311
16 370
16 374
16 383
16 405
16 420
16 490
17 108
17 155
17 177
17 196
17 232
17 275
17 338
17 386
17 493
18 136
18 190
18 231
18 290
18 361
18 431
18 443
18 454
18 459
18 471
19 6
19 22
19 31
19 53
19 139
19 183
19 238
19 245
20 19
20 161
20 163
20 299
20 362
20 384
20 400
20 417
20 458
21 5
21 12
21 234
21 244
21 284
21 310
21 325
21 421
22 63
22 179
22 199
22 292
22 355
22 423
22 435
22 456
23 49
23 65
23 75
23 288
23 289
23 464
23 480
23 487
23 500
24 41
24 146
24 164
24 298
24 324
24 326
24 367
24 388
24 393
24 416
25 70
25 81
25 167
25 200
25 283
25 315
25 321
25 413
25 481
26 18
26 20
26 143
26 149
26 191
26 214
26 273
26 328
26 378
26 477
27 92
27 93
27 140
27 141
27 278
27 333
27 334
27 440
27 442
28 34
28 35
28 158
28 178
28 235
28 307
28 410
28 469
29 29
29 106
29 162
29 239
29 274
29 323
29 339
29 445
29 478
30 14
30 57
30 83
30 168
30 220
30 228
30 233
30 398
30 448
30 450
30 497
31 26
31 217
31 227
31 248
31 331
31 358
31 390
31 414
31 452
32 7
32 68
32 78
32 150
32 197
32 295
32 467
32 479
32 499
33 17
33 111
33 176
33 282
33 305
33 306
33 308
33 352
33 385
34 21
34 37
34 101
34 138
34 160
34 285
34 329
34 403
35 13
35 36
35 205
35 222
35 320
35 332
35 345
35 365
35 451
36 91
36 145
36 184
36 208
36 246
36 271
36 356
36 422
36 434
36 463
37 56
37 206
37 261
37 312
37 394
37 433
37 473
37 485
38 69
38 102
38 264
38 340
38 357
38 395
38 476
38 498
39 28
39 77
39 112
39 130
39 211
39 316
39 368
39 427
40 72
40 76
40 128
40 286
40 309
40 348
40 379
40 488
41 24
41 55
41 116
41 144
41 223
41 269
41 291
41 441
41 444
42 40
42 119
42 185
42 212
42 218
42 230
42 483
43 38
43 60
43 195
43 254
43 277
43 322
43 341
43 351
43 406
44 74
44 79
44 131
44 366
44 369
44 381
44 419
44 460
45 51
45 95
45 156
45 209
45 327
45 364
45 387
45 494
46 44
46 47
46 97
46 193
46 301
46 304
46 319
47 30
47 48
47 250
47 280
47 359
47 371
47 436
47 439
47 495
48 98
48 125
48 192
48 241
48 260
48 262
48 372
48 425
49 11
49 58
49 73
49 265
49 317
49 399
49 470
49 496
50 159
50 204
50 216
50 219
50 401
50 409
50 466
51 82
51 153
51 303
51 313
51 363
51 412
52 80
52 104
52 154
52 165
52 186
52 293
52 482
53 166
53 189
53 202
53 203
53 263
53 314
53 492
54 61
54 66
54 88
54 373
54 396
55 9
55 213
55 229
55 252
55 297
55 418
55 447
56 122
56 169
56 242
56 380
56 432
57 171
57 276
57 318
57 446
58 94
58 255
58 411
59 117
59 300
59 377
59 392
60 110
